org_itemid,org_name
80002,ESCHERICHIA COLI
80003,GRAM NEGATIVE COCCI
80004,KLEBSIELLA PNEUMONIAE
80005,KLEBSIELLA OXYTOCA
80007,ENTEROBACTER AEROGENES
80008,ENTEROBACTER CLOACAE
80009,HAFNIA ALVEI
80011,ENTEROBACTER GERGOVIAE
80012,CRONOBACTER (ENTEROBACTER) SAKAZAKII
80013,SERRATIA LIQUEFACIENS
80014,SERRATIA MARCESCENS
80015,SERRATIA RUBIDAEA
80016,PROTEUS VULGARIS
80017,PROTEUS MIRABILIS
80018,MORGANELLA MORGANII
80019,PROVIDENCIA STUARTII
80020,PROVIDENCIA RETTGERI
80021,SHIGELLA FLEXNERI
80022,SALMONELLA ENTERITIDIS
80023,STAPH AUREUS COAG +
80024,STAPHYLOCOCCUS EPIDERMIDIS
80025,CITROBACTER AMALONATICUS
80026,PSEUDOMONAS AERUGINOSA
80027,PSEUDOMONAS PUTIDA 
80028,BURKHOLDERIA CEPACIA
80029,PSEUDOMONAS SPECIES
80030,BORDETELLA BRONCHISEPTICA
80031,MORAXELLA SPECIES
80032,AEROMONAS HYDROPHILA
80033,VIBRIO SPECIES
80034,PASTEURELLA MULTOCIDA
80035,EIKENELLA CORRODENS
80036,ANAEROBIC GRAM NEGATIVE ROD(S)
80037,GRAM VARIABLE RODS
80038,CLOSTRIDIUM PERFRINGENS
80039,CLOSTRIDIUM SPECIES
80040,NEISSERIA GONORRHOEAE
80041,NEISSERIA MENINGITIDIS
80042,NEISSERIA SPECIES
80043,HAEMOPHILUS PARAINFLUENZAE
80044,HAEMOPHILUS SP
80045,BETA STREPTOCOCCUS GROUP B
80046,BETA STREPTOCOCCUS GROUP C
80047,BETA STREPTOCOCCUS GROUP G
80048,BETA STREPTOCOCCUS
80049,STREPTOCOCCUS MITIS
80050,STREPTOCOCCUS BOVIS 
80051,STREPTOCOCCUS SANGUIS
80052,ALPHA STREPTOCOCCI
80053,ENTEROCOCCUS SP.
80054,BETA STREPTOCOCCUS GROUP A
80055,GRAM POSITIVE COCCUS(COCCI)
80056,GRAM POSITIVE RODS
80057,GRAM NEGATIVE DIPLOCOCCI
80058,GRAM NEGATIVE ROD(S)
80059,CANDIDA SPECIES
80060,CANDIDA ALBICANS
80061,RHODOTORULA SPECIES
80062,ASPERGILLUS NIGER
80063,ASPERGILLUS SPECIES
80064,PENICILLIUM SPECIES
80065,CRYPTOCOCCUS NEOFORMANS
80066,ASPERGILLUS FUMIGATUS
80067,NOCARDIA ASTEROIDES
80068,NOCARDIA SPECIES
80069,MYCOBACTERIUM TUBERCULOSIS
80070,GRAM NEGATIVE ROD #1
80071,GRAM NEGATIVE ROD #2
80072,GRAM NEGATIVE ROD #3
80073,GRAM NEGATIVE ROD #4
80074,ANAEROBIC GRAM NEGATIVE ROD #2
80075,YEAST
80076,STREPTOCOCCUS PNEUMONIAE
80077,CRYPTOCOCCUS SPECIES
80078,ANAEROBIC GRAM POSITIVE COCCUS(I)
80079,ANAEROBIC GRAM POSITIVE ROD(S)
80080,BACTERIA
80081,GRAM POSITIVE BACTERIA
80082,BACILLUS SPECIES
80083,COCCIDIOIDES IMMITIS
